,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,arrivé,come
19,devrait,should
20,longtemps,long time
21,heures,hours
22,vont,will
23,revoir,meet again
24,aucune,any
25,parle,speak
26,savais,knew
27,étaient,were
28,voici,here is
29,affaire,case
30,donner,give
31,type,type
32,leurs,their
33,donné,given
34,train,train
35,endroit,place
36,yeux,eyes
37,façon,way
38,écoute,listen
39,trouve,find
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,pouvoir,power
46,vieux,old
47,sois,be
48,tiens,here
49,matin,morning
50,tellement,so much
51,enfant,child
52,point,point
53,venu,came
54,suite,after
55,pardon,sorry
56,venez,come
57,vers,towards
58,minutes,minutes
59,chambre,bedroom
60,belle,beautiful
61,aimerais,would like to
62,aujourd'hui,today
63,mari,husband
64,cause,cause
65,enfin,finally
66,espère,hope
67,eau,water
68,attendez,Wait
69,parti,left
70,nouvelle,new
71,boulot,job
72,arrêter,Stop
73,dirait,would say
74,terre,Earth
75,compte,account
76,donne,given
77,loin,far
78,fin,end
79,croire,believe
80,chérie,sweetheart
81,gros,large
82,plutôt,rather
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
